Lat,Lng,locationTime
40.756374,-73.986462,"1471 Broadway
10 PM"
40.760678,-73.987693,"771 8th Avenue
10 PM"
40.757601,-73.989908,"661 8th Avenue
24 hours"
40.761444,-73.984412,"1627 Broadway
10 PM"
40.76061817,-73.97904533,"1251 Avenue of the Americas
8 PM"
40.75393,-73.98563833,"1430 Broadway
24 hours"
40.756620128,-73.990296666,"625 8th Avenue
10 PM"
40.762595,-73.983657,"1657 Broadway
10 PM"
40.755219,-73.980154,"530 5th Avenue
10 PM"
40.759694,-73.9921,"619 9th Avenue
9 PM"
40.760325,-73.979029,"51 West 51st Street
10 PM"
40.763082,-73.989561,"721 9th Avenue
10 PM"
40.764341,-73.98413,"900 8th Avenue
10 PM"
40.751003,-73.987321,"1350 Broadway
24 hours"
40.763297,-73.977505,"1370 Avenue of the Americas
10 PM"
40.7518,-73.993433,"460 8th Avenue
24 hours"
40.759104,-73.974063,"49 East 52nd Street
10 PM"
40.748685,-73.987819,"1270 Broadway
10 PM"
40.750598907,-73.993598938,"2 Pennsylvania Plaza
10 PM"
40.756783,-73.997236,"455 West 37th Street
10 PM"
40.74843,-73.985646,"350 5th Avenue
10 PM"
40.751226,-73.976617,"122 East 42nd Street
10 PM"
40.754129,-73.973458,"485 Lexington Avenue
10 PM"
40.74692,-73.981975,"4 Park Avenue
10 PM"
40.74738833,-73.99356333,"333 7th Avenue
10 PM"
40.7642,-73.977633,100 West 57th Street 10 PM
40.752151,-73.972822,711 3rd Avenue 24 hours
40.75719,-73.971204,575 Lexington Avenue 24 hours
40.767456,-73.982791,4 Columbus Circle 10 PM
40.745229,-73.991459,777 Avenue of the Americas 10 PM
40.74623583,-73.98417433,135 East 34th Street 24 hours
40.752416,-74.002252,526 West 30th Street 10 PM
40.757489,-73.970012,866 3rd Avenue 10 PM
40.751989,-73.970234,852 2nd Avenue 10 PM
40.747542,-73.973201,300 East 39th Street 10 PM
40.762899,-73.971242,41 East 58th Street 10 PM
40.742947,-73.983677,401 Park Avenue South 10 PM
40.770652,-73.987783,4 Amsterdam Avenue 10 PM
40.759838,-73.967457,949 3rd Avenue 24 hours
40.741443,-73.990068,184 5th Avenue 10 PM
40.771375,-73.982487,1889 Broadway 10 PM
40.763315,-73.967132,773 Lexington Avenue 10 PM
40.740196,-73.987024,304 Park Avenue South 24 hours
40.741785,-73.996834,180 West 20th Street 10 PM
40.763063,-73.962993,1191 2nd Avenue 10 PM
40.754816,-73.965785,931 1st Avenue 10 PM
40.740071,-73.979682,465 2nd Avenue 10 PM
40.758389,-73.962347,1052 1st Avenue 10 PM
40.765516,-73.963449,1111 3rd Avenue 10 PM
40.738744,-73.999079,77 7th Avenue 10 PM
40.735512,-73.991895,1 Union Square South 10 PM
40.778828,-73.982528,2069 Broadway 24 hours
40.733876,-73.989556,145 4th Avenue 24 hours
40.733395,-73.986714,125 3rd Avenue 10 PM
40.76773,-73.958906,1328 2nd Avenue 10 PM
40.733289,-73.980723,298 1st Avenue 10 PM
40.758572,-73.952973,425 Main Street 10 PM
40.767941,-73.95551,1352 1st Avenue 10 PM
40.773333,-73.959823,1091 Lexington Avenue 10 PM
40.783009,-73.978769,380 Amsterdam Avenue 10 PM
40.728474,-73.994584,4 West 4th Street 10 PM
40.77368167,-73.95340167,1524 2nd Avenue 2 AM 
40.776728,-73.952212,1235 Lexington Avenue 10 PM
40.77116717,-73.9501925,1498 York Avenue 10 PM
40.782603,-73.957361,1231 Madison Avenue 10 PM
40.722306,-73.983596,194 East 2nd Street 10 PM
40.788668,-73.970253,609 Columbus Avenue 10 PM
40.776947,-73.948886,401 East 86th Street 11 PM
40.722007,-73.996923,60 Spring Street 24 hours
40.720816,-74.000864,459 Broadway 10 PM
40.71909,-73.988679,100 Delancey Street 10 PM
40.792013,-73.96864,700 Columbus Avenue 10 PM
40.793383,-73.972334,2522 Broadway 24 hours
40.783414,-73.949711,1675 3rd Avenue 24 hours
40.719163,-74.010743,352 Greenwich Street 10 PM
40.715526,-74.005589,305 Broadway 10 PM
40.791356,-73.951514,1490 Madison Avenue 9 PM
40.798849,-73.969125,2683 Broadway 10 PM
40.716205597,-74.015258789,315 North End Avenue 10 PM
40.712975,-74.007829,250 Broadway 10 PM
40.792492,-73.944392,1915 3rd Avenue 10 PM
40.801439,-73.967422,2760 Broadway 10 PM
40.80475,-73.965467,2864 Broadway 24 hours
40.804683,-73.93751,135 East 125th Street 10 PM
40.81504,-73.958099,568 West 125th Street 10 PM
40.816541,-73.947161,300 West 135th Street 10 PM
40.821764,-73.954258,3387 Broadway 10 PM
40.823177,-73.943265,320 West 145th Street 10 PM
40.711554,-74.01141,185 Greenwich Street 10 PM
40.710045,-74.008646,17 John Street 9 PM
40.70741,-74.004746,200 Water Street 10 PM
40.70797,-74.011071,100 Broadway 10 PM
40.706729889,-74.009803772,40 Wall Street 24 hours
40.706268,-74.013187,37 Broadway 9 PM
40.704776,-74.007616,95 Wall Street 10 PM
40.704975,-74.011324,67 Broad Street 9 PM
40.703844,-74.012753,1 Whitehall Street 9 PM
